公司名称,公司行业,公司链接,职位,地区,薪资,标签,职位类型
熠谱科技,互联网,https://www.liepin.com/company/13621877/,数据采集工程师,深圳-南山区,11-20k,['本科'],应届
熠谱科技,互联网,https://www.liepin.com/company/13621877/,爬虫工程师,深圳-南山区,11-20k,['本科'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,C++研发工程师（应届生校招）,大连-甘井子区,15-25k,['硕士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,C++研发工程师（应届生校招）,北京-海淀区,15-25k,['硕士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,C++研发工程师（应届生校招）,武汉-江夏区,15-25k,['硕士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,C++研发工程师（应届生校招）,上海-浦东新区,15-25k,['硕士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,C++研发工程师（应届生校招）,深圳-福田区,15-25k,['硕士'],应届
成都益凯启科技有限公司,IT服务,https://www.liepin.com/company/13869893/,招聘专员,苏州-吴中区,8-11k,[],无
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,计算电磁算法工程师（应届生校招),北京-海淀区,30-50k,['博士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,计算电磁算法工程师（应届生校招),上海-浦东新区,30-50k,['博士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,计算电磁算法工程师（应届生校招),深圳-福田区,30-50k,['博士'],应届
湖北九同方微电子有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8315978/,计算电磁算法工程师（应届生校招),武汉-江夏区,30-50k,['博士'],应届
中国科学院深圳先进技术研究院,专业技术服务,https://www.liepin.com/company/8721680/,实习生（研一研二）、保研生,深圳-南山区,2-4k,['本科'],应届
进化论资产,基金/证券/期货,https://www.liepin.com/company/12139775/,量化策略研究员,深圳-南山区,20-40k,['硕士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,AI/算法/芯片/软件/硬件（多方向应届生）,东莞-松山湖,30-60k·16薪,['博士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,AI/算法/芯片/软件/硬件（多方向应届生）,深圳-龙岗区,30-60k·16薪,['博士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,AI/算法/芯片/软件/硬件（多方向应届生）,北京-海淀区,30-60k·16薪,['博士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,AI/算法/芯片/软件/硬件（多方向应届生）,上海-浦东新区,30-60k·16薪,['博士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,AI/算法/芯片/软件/硬件（多方向应届生）,香港-油尖旺区,30-60k·16薪,['博士'],应届
兆易创新,电子/半导体/集成电路,https://www.liepin.com/company/7894126/,半导体产品工程师,西安-高新区,薪资面议,['硕士'],应届
兆易创新,电子/半导体/集成电路,https://www.liepin.com/company/7894126/,半导体产品工程师,北京-朝阳区,薪资面议,['硕士'],应届
兆易创新,电子/半导体/集成电路,https://www.liepin.com/company/7894126/,半导体产品工程师,合肥-经开区,薪资面议,['硕士'],应届
中科院自动化研究所,人工智能,https://www.liepin.com/company/8809978/,运筹优化算法工程师(J10471),北京-海淀区,14-26k,['硕士'],应届
本征信息技术(上海)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/8612729/,FAE（需要出差）,深圳-宝安区,10-30k,['本科'],应届
芯原微电子(上海)股份有限公司,电子/半导体/集成电路,https://www.liepin.com/company/7909389/,数字前端工程师,南京-浦口区,18-25k·14薪,['硕士'],应届
昂纳科技集团,通信设备,https://www.liepin.com/company/1619616/,嵌入式软件测试工程师,深圳-坪山区,8-15k,['本科'],应届
北京汽车研究总院,整车制造,https://www.liepin.com/company/8104950/,机器视觉,北京-大兴区,15-30k,['博士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,【博士研究员】决策推理,上海-青浦区,40-45k,['博士'],应届
合合信息,人工智能,https://www.liepin.com/company/7862267/,25届校招-生成式图像算法工程师（面向博士）(J13207),上海-静安区,35-55k·16薪,['博士'],应届
合合信息,人工智能,https://www.liepin.com/company/7862267/,25届校招-大数据开发工程师(J13245),上海-静安区,20-30k·16薪,['本科'],应届
合合信息,人工智能,https://www.liepin.com/company/7862267/,25届校招-多模态算法工程师（AI教育）(J13258),上海-静安区,28-40k·16薪,['硕士'],应届
致网科技,计算机软件,https://www.liepin.com/company/8846205/,测试工程师（应届）,南京-江宁区,10-15k·14薪,['硕士'],应届
岚图汽车科技有限公司,新能源汽车,https://www.liepin.com/company/12907949/,追光计划-感知算法工程师（博士）,武汉,薪资面议,['博士'],应届
上海茫讯商务咨询中心,专业技术服务,https://www.liepin.com/company/12822429/,商务助理,北京-大兴区,30-55k·16薪,[],无
相互作用力科技,人工智能,https://www.liepin.com/company/13173539/,LLM技术,北京-朝阳区,11-20k,['本科'],应届
